montadora,modelo,ano_fabricacao,valor_mercado
Ford,Focus,2017,62399.38
Volkswagen,Polo,2010,5000.0
Chevrolet,Corsa,2017,9944.4
Toyota,Yaris,2012,5000.0
Chevrolet,Cruze,2018,57020.67
Chevrolet,S10,2010,19084.15
Honda,WR-V,2014,5000.0
Chevrolet,Onix,2022,26414.68
Chevrolet,S10,2006,5000.0
Honda,WR-V,2010,5000.0
Chevrolet,Prisma,2016,21412.44
Volkswagen,Fox,2007,5000.0
Ford,Ka,2021,36823.04
Chevrolet,Corsa,2016,26774.33
Honda,HR-V,2015,7386.78
Ford,Focus,2008,5000.0
Volkswagen,Polo,2007,5000.0
Toyota,Yaris,2016,11074.95
Chevrolet,Prisma,2008,5000.0
Chevrolet,Onix,2009,5000.0
Honda,Fit,2015,5000.0
Volkswagen,Gol,2007,5000.0
Volkswagen,Polo,2019,19361.37
Honda,WR-V,2023,33614.24
Chevrolet,Onix,2007,5000.0
Toyota,Etios,2022,86044.6
Ford,Ka,2017,24748.14
Toyota,Etios,2010,5000.0
Volkswagen,Polo,2021,66040.26
Toyota,Hilux,2020,42587.73
Volkswagen,T-Cross,2016,19268.95
Chevrolet,S10,2012,5000.0
Honda,City,2023,45806.62
Chevrolet,Onix,,16753.28
Volkswagen,Jetta,2017,23837.63
Honda,WR-V,2011,5000.0
Toyota,Hilux,2013,5000.0
Toyota,RAV4,2012,5000.0
Ford,Ka,2010,5000.0
Chevrolet,Cruze,2005,5000.0
Ford,Fusion,2009,8246.02
Chevrolet,Corsa,,11902.17
Toyota,Corolla,2022,46634.89
Chevrolet,Corsa,2006,5000.0
Honda,City,2015,23749.39
Ford,Fusion,2006,5000.0
Ford,Ka,2019,29725.86
Volkswagen,T-Cross,2022,85890.48
Volkswagen,T-Cross,2020,20657.97
Chevrolet,Cruze,2010,5000.0
Volkswagen,T-Cross,2010,5000.0
Chevrolet,Corsa,2019,47232.53
Toyota,Etios,2019,25266.41
Volkswagen,Fox,2006,5000.0
Ford,EcoSport,2013,5000.0
Toyota,Etios,2010,5000.0
Volkswagen,Gol,2020,69455.49
Volkswagen,T-Cross,2008,5000.0
Volkswagen,Jetta,2014,5000.0
Volkswagen,Fox,2005,5000.0
Honda,City,2023,74827.34
Volkswagen,Fox,2006,5000.0
Chevrolet,Corsa,2005,5000.0
Honda,HR-V,2011,5000.0
Volkswagen,T-Cross,2017,6288.44
Ford,Fusion,2011,5000.0
Toyota,Yaris,2012,5000.0
Volkswagen,Jetta,2020,17002.51
Ford,Fiesta,2008,5000.0
Volkswagen,T-Cross,2012,5000.0
Toyota,Etios,2013,5000.0
Honda,City,2012,17679.72
Volkswagen,Jetta,2020,38300.03
Ford,Fusion,2021,56785.61
Honda,City,2010,5000.0
Honda,HR-V,2007,5000.0
Toyota,Yaris,2005,5000.0
Toyota,Corolla,2009,5000.0
Toyota,Hilux,2022,94675.89
Toyota,RAV4,2018,9135.74
Toyota,Hilux,2015,5000.0
Toyota,Hilux,2009,5000.0
Toyota,Etios,2005,5000.0
Honda,HR-V,2022,56433.3
Ford,Focus,2007,5000.0
Honda,WR-V,2012,10480.47
Volkswagen,Polo,2008,5000.0
Toyota,RAV4,2022,24113.48
Volkswagen,Gol,2021,66525.17
Chevrolet,Prisma,2007,5000.0
Toyota,Hilux,2022,42740.59
Toyota,Yaris,2018,7154.62
Ford,Focus,2022,35918.1
Ford,Fiesta,2018,34799.42
Volkswagen,Polo,2014,13507.98
Ford,Fiesta,2007,5000.0
Honda,HR-V,2012,5000.0
Volkswagen,Jetta,2019,32496.56
Chevrolet,Corsa,2022,56143.58
Toyota,RAV4,2009,7970.51
